you,ty
I,ja
to,do
and,i
that,że
of,z
me,mnie
in,w
this,to
for,dla
no,Nie
have,mieć
my,mój
just,właśnie
not,nie
do,zrobić
be,być
on,na
your,Twój
was,był
we,my
with,z
but,ale
all,wszystko
well,dobrze
he,on
about,o
right,dobrze
get,otrzymać
here,tutaj
out,na zewnątrz
if,gdyby
her,jej
she,Ona
can,mogą
up,w górę
want,chcieć
now,teraz
go,iść
him,mu
there,tam
one,jeden
why,dlaczego
see,widzieć
come,chodź
good,dobrze
they,one
really,naprawdę
when,gdy
back,z powrotem
from,od
were,byli
yes,tak
his,jego
or,lub
who,WHO
because,dlatego
some,trochę
then,następnie
say,mówić
an,na
way,sposób
us,nas
little,mało
never,nigdy
too,zbyt
sure,pewnie
more,jeszcze
over,nad
our,nasz
sorry,Przepraszam
where,gdzie
let,pozwolić
maybe,może
down,na dół
man,człowiek
very,bardzo
by,przez
anything,byle co
much,dużo
any,każdy
life,życie
even,parzysty
off,poza
please,Proszę
thank,podziękować
only,tylko
help,Wsparcie
two,dwa
talk,rozmowa
people,ludzie
God,Bóg
still,nadal
wait,czekać
into,w
find,odnaleźć
again,jeszcze raz
thing,rzecz
call,połączenie
told,powiedział
great,świetny
before,przed
better,lepszy
ever,zawsze
night,noc
than,niż
away,z dala
first,pierwszy
believe,uwierzyć
fine,w porządku
home,Dom
after,po
last,"ostatni, ubiegły, zeszły"
these,te
put,położyć
around,na około
stop,zatrzymać
long,długo
always,zawsze
listen,słuchać
those,te
big,duży
lot,los
kind,uprzejmy
wrong,źle
through,przez
new,Nowy
guess,odgadnąć
care,opieka
bad,zły
mom,mama
remember,Zapamiętaj
together,razem
dad,tata
leave,pozostawiać
mother,mama
place,miejsce
understand,Rozumiesz
actually,tak właściwie
hear,słyszeć
baby,niemowlę
nice,miły
father,ojciec
else,jeszcze
stay,zostać
their,ich
course,kierunek
might,moc
mind,umysł
every,każdy
enough,dość
try,próbować
hell,piekło
came,przyszło
someone,ktoś
own,posiadać
family,rodzina
whole,cały
another,inne
house,dom
yourself,siebie
idea,pomysł
ask,zapytać
best,Najlepsza
must,musieć
old,stary
woman,kobieta
hello,cześć
which,który
room,Pokój
money,pieniądze
left,lewo
tonight,dzisiejszej nocy
real,real
son,syn
hope,nadzieja
name,Nazwa
same,podobnie
happy,szczęśliwy
pretty,ładny
girl,dziewczynka
sir,Pan
show,pokazać
already,już
may,może
next,Kolejny
three,trzy
found,znaleziony
world,świat
honey,kochanie
myself,siebie
exactly,dokładnie
probably,prawdopodobnie
hurt,ból
both,obie
while,podczas
dead,nie żyje
alone,sam
since,od
excuse,pretekst
start,początek
kill,zabić
hard,ciężko
today,dzisiaj
car,samochód
ready,gotowy
until,aż do
without,bez
whatever,cokolwiek
deal,rozdać
took,wzięli
once,pewnego razu
friend,przyjaciel
head,głowa
stuff,rzeczy
most,większość
worry,martwić się
second,druga
part,część
truth,prawda
school,szkoła
face,Twarz
forget,zapomnieć
business,biznes
each,każdy
cause,przyczyna
soon,wkrótce
wife,żona
use,posługiwać się
chance,szansa
run,biegać
move,ruszaj się
anyone,ktoś
person,osoba
bye,PA
somebody,ktoś
heart,serce
such,taki
point,punkt
later,później
meet,spotykać się
anyway,tak czy siak
phone,telefon
reason,powód
lost,Stracony
look,Popatrz
bring,przynieść
case,walizka
wish,życzenie
tomorrow,jutro
trust,zaufanie
check,czek
end,koniec
late,późno
anymore,więcej
five,pięć
least,najmniej
town,miasto
year,rok
make,robić
mean,oznaczać
play,grać
hate,nienawidzić
ago,temu
beautiful,piękny
fact,fakt
crazy,zwariowany
party,przyjęcie
sit,siedzieć
open,otwarty
afraid,przestraszony
between,pomiędzy
important,ważny
rest,odpoczynek
fun,zabawa
kid,dziecko
glad,zadowolony
everyone,wszyscy
day,dzień
sister,siostra
minute,minuta
everybody,wszyscy
bit,kawałek
couple,para
either,zarówno
daughter,córka
under,pod
break,przerwa
door,drzwi
set,zestaw
close,blisko
easy,łatwo
doctor,lekarz
far,daleko
walk,spacerować
need,potrzeba
trouble,kłopot
mine,kopalnia
though,chociaż
time,czas
different,różne
hospital,szpital
anybody,ktoś
alright,w porządku
wedding,ślub
shut,zamknąć
able,zdolny
die,umierać
perfect,idealny
police,Policja
stand,stoisko
hit,trafienie
story,fabuła
dinner,obiad
against,przeciwko
funny,zabawny
husband,mąż
almost,prawie
stupid,głupi
pay,zapłacić
answer,odpowiedź
four,cztery
office,gabinet
cool,fajne
news,Aktualności
child,dziecko
half,pół
yours,Twój
moment,za chwilę
sleep,sen
young,młody
men,mężczyźni
sonny,synek
lucky,Szczęściarz
pick,wybierać
sometimes,czasami
them,im
bed,łóżko
also,również
date,data
line,linia
lose,stracić
fire,ogień
free,darmowy
hand,dłoń
serious,poważny
shit,gówno
behind,za
inside,wewnątrz
high,wysoki
ahead,przed siebie
wonderful,wspaniale
fight,walka
past,przeszłość
cut,skaleczenie
quite,całkiem
number,numer
sick,chory
game,gra
eat,jeść
nobody,nikt
death,śmierć
along,wzdłuż
finally,Wreszcie
upset,zdenerwowany
seem,wydać się
safe,bezpieczny
children,dzieci
front,z przodu
shot,strzał
love,miłość
clear,jasny
hot,gorąco
six,sześć
drink,drink
absolutely,absolutnie
how,w jaki sposób
sweet,Słodkie
alive,żywy
sense,sens
happen,zdarzyć
special,specjalny
bet,Zakład
blood,krew
lie,kłamstwo
full,pełny
meeting,spotkanie
dear,drogi
coffee,Kawa
sound,dźwięk
fault,wina
water,woda
ten,dziesięć
women,kobiety
welcome,Witamy
buy,Kup
hour,godzina
speak,mówić
think,myśleć
Christmas,Boże Narodzenie
body,ciało
order,zamówienie
outside,na zewnątrz
hang,powiesić
worse,gorzej
company,firma
mistake,błąd
handle,uchwyt
spend,wydać
totally,całkowicie
control,kontrola
marriage,małżeństwo
power,moc
president,prezydent
unless,chyba że
sex,seks
send,wysłać
picture,obrazek
hundred,sto
change,zmiana
explain,wyjaśniać
certainly,na pewno
sign,znak
boy,chłopiec
relationship,związek
hair,włosy
choice,wybór
anywhere,gdziekolwiek
secret,sekret
future,przyszłość
weird,dziwne
luck,szczęście
touch,dotknąć
kiss,pocałunek
crane,dźwig
question,pytanie
obviously,oczywiście
pain,ból
straight,proste
grace,wdzięk
white,biały
fast,szybki
word,słowo
food,jedzenie
none,Żaden
drive,napęd
work,praca
marry,ożenić
light,lekki
test,test
drop,upuszczać
frank,szczery
sent,przesyłane
city,Miasto
dream,marzenie
protect,ochraniać
twenty,20
class,klasa
surprise,niespodzianka
forever,na zawsze
poor,ubogi
mad,szalony
except,z wyjątkiem
gun,pistolet
know,wiedzieć
dance,taniec
take,brać
especially,szczególnie
situation,sytuacja
besides,oprócz
week,tydzień
himself,samego siebie
act,działać
worth,wartość
top,Top
expect,oczekiwać
rather,raczej
involve,angażować
swear,przysięgać
piece,kawałek
busy,zajęty
law,prawo
black,czarny
movie,film
catch,złapać
country,kraj
less,mniej
perhaps,być może
step,krok
fall,spadek
dog,pies
win,zdobyć
personal,osobisty
admit,przyznać
problem,problem
murder,morderstwo
strong,silny
evil,zło
feel,czuć
honest,szczery
eye,oko
broke,zepsuł się
miss,tęsknić
tired,zmęczony
evening,wieczór
human,człowiek
red,czerwony
entire,Cały
trip,wycieczka
club,Klub
suppose,przypuszczać
calm,spokojna
imagine,wyobrażać sobie
fair,targi
blame,winić
street,ulica
apartment,apartament
court,Sąd
terrible,straszny
clean,czysty
learn,uczyć się
relax,zrelaksować się
million,milion
charity,dobroczynność
accident,wypadek
prove,okazać się
smart,mądry
message,wiadomość
small,mały
interest,zainteresowanie
table,stół
become,stają się
mouth,usta
pregnant,w ciąży
middle,środkowy
ring,pierścień
careful,ostrożny
shall,powinien
team,zespół
ride,jazda
figure,postać
wear,nosić
shoot,strzelać
stick,kij
ray,promień
follow,podążać
angry,zły
instead,zamiast
buddy,kumpel
write,pisać
early,wcześnie
angel,anioł
nick,nacięcie
ran,biegł
war,wojna
forgive,Wybacz
jail,więzienie
lunch,lunch
eight,osiem
thousand,tysiąc
music,muzyka
tough,twardy
tape,taśma
count,liczyć
college,Szkoła Wyższa
boyfriend,chłopak
proud,dumny
agree,Zgodzić się
birthday,urodziny
bill,rachunek
seven,siedem
history,historia
share,dzielić
offer,oferta
hurry,pośpiech
feet,stóp
wonder,cud
simple,prosty
decision,decyzja
building,budynek
finish,koniec
voice,głos
herself,się
would,by
list,lista
mess,bałagan
deserve,zasłużyć
cute,uroczy
dress,sukienka
interesting,ciekawy
Jesus,Jezus
hotel,hotel
enjoy,cieszyć się
quiet,cichy
road,Droga
eve,przeddzień
short,krótki
beat,bić
mention,wzmianka
clothe,odziać
neither,ani
fix,naprawić
respect,szacunek
spent,wydany
prison,więzienie
attention,Uwaga
near,Blisko
bar,bar
pass,przechodzić
gift,prezent
dark,ciemny
self,samego siebie
normal,normalna
aunt,ciocia
dollar,dolar
lawyer,prawnik
apart,niezależnie
certain,pewny
plan,plan
girlfriend,dziewczyna
floor,podłoga
whether,czy
everything,wszystko
present,teraźniejszość
earth,Ziemia
private,prywatny
box,pudełko
cover,pokrywa
judge,sędzia
sake,wzgląd
mommy,mamusia
possibly,możliwie
worst,najgorszy
station,stacja
accept,zaakceptować
blow,cios
strange,dziwne
save,zapisać
plane,samolot
yesterday,wczoraj
quick,szybki
lately,ostatnio
stuck,oblepiony
lovely,śliczny
security,bezpieczeństwo
report,raport
difference,różnica
store,sklep
bag,torba
ball,piłka
single,pojedynczy
doubt,wątpić
blue,niebieski
deep,głęboki
park,park
record,rekord
lord,Lord
join,Przystąp
key,klucz
captain,kapitan
card,karta
crime,przestępstwo
window,okno
return,powrót
guilty,winny
difficult,trudny
soul,dusza
joke,żart
service,usługa
magic,magia
uncle,wujek
promise,obietnica
public,publiczny
bother,zawracać głowę
island,wyspa
seriously,poważnie
cell,komórka
lead,prowadzić
broken,złamany
advice,Rada
somehow,jakoś
push,Pchać
concern,sprawa
usually,zazwyczaj
boss,szef
rule,reguła
summer,lato
thirty,trzydzieści
risk,ryzyko
letting,wynajem
officer,oficer
support,wsparcie
afternoon,popołudnie
born,urodzony
apologise,przepraszać
seat,siedzenie
nervous,nerwowy
across,przez
song,piosenka
charge,opłata
patient,cierpliwy
boat,łódź
brain,mózg
hide,ukryć
general,generał
nine,dziewięć
huge,olbrzymi
breakfast,śniadanie
horrible,straszny
age,wiek
awful,straszny
pleasure,przyjemność
driving,napędowy
system,system
sell,Sprzedać
quit,porzucić
dying,umierający
chief,szef
faith,wiara
gay,homoseksualista
month,miesiąc
visit,odwiedzić
screw,wkręt
letter,list
decide,zdecydować
double,podwójnie
sad,smutny
press,naciśnij
forward,Naprzód
fool,oszukać
smell,zapach
spell,zaklęcie
memory,pamięć
mark,znak
slow,powolny
hungry,głodny
board,tablica
position,pozycja
hearing,przesłuchanie
rose,Róża
kitchen,kuchnia
force,siła
fly,latać
during,podczas
space,przestrzeń
kick,kopnięcie
other,inny
grab,chwycić
discuss,omawiać
third,trzeci
cat,kot
fifty,pięćdziesiąt
mile,Mila
fat,gruby
reading,czytanie
idiot,idiota
rock,skała
suddenly,nagle
agent,agent
bunch,wiązka
destroy,zniszczyć
track,tor
shoes,buty
scene,scena
peace,pokój
demon,Demon
low,Niska
consider,rozważać
drunk,pijany
tell,powiedzieć
knock,pukanie
bell,dzwon
cash,gotówka
give,dać
department,departament
nose,nos
turn,skręcać
keep,trzymać
beer,piwo
sooner,szybciej
plenty,dużo
extra,dodatkowy
attack,atak
ground,ziemia
whose,którego
weekend,weekend
matter,materia
wrote,napisał
type,rodzaj
opportunity,okazja
king,król
impossible,niemożliwy
book,książka
machine,maszyna
waste,marnotrawstwo
pretend,stwarzać pozory
danger,niebezpieczeństwo
wall,Ściana
jump,skok
proof,dowód
complete,kompletny
arrest,aresztować
perfectly,doskonale
warm,ciepło
pull,Ciągnąć
twice,dwa razy
easier,łatwiej
suit,garnitur
romantic,romantyczny
drug,lek
comfortable,wygodny
fit,dopasowanie
divorce,rozwód
begin,zaczynać
closely,dokładnie
ruin,ruina
although,mimo że
smile,uśmiech
laugh,śmiech
fish,ryba
treat,leczyć
fear,strach
amber,bursztyn
guy,chłopak
otherwise,Inaczej
excited,podekscytowany
mail,Poczta
green,Zielony
stole,Ukradłem
notice,ogłoszenie
excellent,świetny
pop,Muzyka pop
paper,papier
bottom,Dolny
note,Uwaga
sudden,nagły
church,kościół
bathroom,łazienka
sing,śpiewać
glass,szkło
tree,drzewo
contact,kontakt
shop,sklep
reach,dosięgnąć
cry,płakać
cake,ciasto
partner,partner
bus,autobus
computer,komputer
study,nauka
star,gwiazda
area,powierzchnia
wind,wiatr
chicken,kurczak
dry,suchy
hero,bohater
error,błąd
are,są
build,budować
sea,morze
Saturday,sobota
add,Dodaj
birth,narodziny
bird,ptak
grandmother,babcia
heavy,ciężki
west,Zachód
lesson,lekcja
heat,ciepło
speed,prędkość
milk,mleko
rain,deszcz
sugar,cukier
market,rynek
process,proces
stone,złóg
serve,obsługiwać
river,rzeka
